company,news_date,news_text,,
ASSECO-POLAND,2020-09-24 12:20:52,ACP (ASSECOPOL) i Inspektorat Uzbrojenia podpisali umowę na dostarczenie bezzałogowych statków powietrznych klasy mikro dla Sił Zbrojnych RP. Drony będą używane do prowadzenia dzienno-nocnej...,3,
ASSECO-POLAND,2020-09-22 11:19:10,"ACP (ASSECOPOL) opracowało rozwiązanie, które dzięki wprowadzeniu standaryzacji procesów i uwspólnieniu usług, poprawia efektywność działania i redukuje koszty funkcjonowania banków....",3,
ASSECO-POLAND,2020-09-14 16:20:05,"Letnich zakupów ciąg dalszy. Po pięciu miesiącach, podczas których w portfelach Santader TFI dominowały transakcje sprzedaży, role się odwróciły. Strona popytowa już trzeci miesiąc...",2,
ASSECO-POLAND,2020-09-08 16:20:03,"Prognozowana przez analityków DM mBanku sierpniowa korekta nie nastąpiła, a drugi miesiąc wakacji był dla rynku akcji całkiem udany (przynajmniej ten w amerykańskim wydaniu). Eksperci...",3,
ASSECO-POLAND,2020-08-28 11:45:36,"W I półroczu 2020 r. Asseco wypracowało 5,8 mld zł przychodów ze sprzedaży, czyli o 16% więcej niż w analogicznym okresie przed rokiem. 81% przychodów stanowiła kluczowa dla Grupy...",3,
ASSECO-POLAND,2020-08-27 12:22:46,"ACP (ASSECOPOL) przy wsparciu partnerów technologicznych – IBM, Google Cloud i Red Hat stworzyło nowy model platformy Asseco Convergent Services Environment (Asseco CSE). Po raz pierwszy na...",3,
ASSECO-POLAND,2020-08-19 12:51:04,"Po decyzjach z początku roku o sprzedaży kilku składników, liczba spółek notowanych na GPW znajdująca się w portfelach funduszy Santander TFI utrzymuje się na stabilnym poziomie. Tworzy...",2,
ASSECO-POLAND,2020-08-11 08:20:38,"Spowolnienie tempa ożywienia gospodarczego i dalsza niepewność w geopolityce spowodują, że w kolejnych tygodniach rynki akcji mogą wejść w okres korekty wzrostów z ostatnich miesięcy....",1,
ASSECO-POLAND,2020-08-05 12:31:00,Banking Group – wiodący bank oferujący usługi finansowe dla przedsiębiorstw współpracujących z podmiotami administracji publicznej – i Asseco Data Systems – jeden z największych...,2,
ASSECO-POLAND,2020-06-22 13:24:39,"Po zawirowaniach związanych z pandemią, wiele prognoz sprzed raptem kilku miesięcy, wydaje się zupełnie nie przystawać do aktualnej rzeczywistości. Podobnie jak teoretycznie w dalszym ciągu...",1,
ASSECO-POLAND,2020-06-08 15:42:35,"Zapis sesji pytań i odpowiedzi z konferencji wynikowej spółki ACP (ASSECOPOL) z 29 maja 2020 r.

 

Przejdziemy teraz do części kolejnej naszego spotkania, do pytań. Prosimy zadawać...",2,
ASSECO-POLAND,2020-06-08 15:43:38,"Zapis przebiegu konferencji wynikowej ACP (ASSECOPOL) z 29 maja 2020 roku, w trakcie której przedstawiciele spółki zaprezentowali wyniki finansowe wypracowane w 1 kwartale 2020 roku oraz...",2,
ASSECO-POLAND,2020-05-29 10:35:53,"W I kwartale 2020 r. przychody Grupy przekroczyły poziom 2,9 mld zł. Zysk operacyjny wyniósł 250 mln zł, czyli o 11% więcej niż w tym samym okresie zeszłego roku. Zysk netto wzrósł o 3% i...",3,
ASSECO-POLAND,2020-04-23 14:41:13,"Gdy zaglądamy do aktualnego portfela akcji z GPW w funduszach Aviva Investor Poland TFI to wyraźnie widać, że nie był on odporny na marcową wyprzedaż. Widać wręcz, że zarządzający...",1,
ASSECO-POLAND,2020-04-21 13:47:39,"Po trzech miesiącach solidnych zakupów, w portfelu PKO TFI uaktywniła się strona podażowa. Mowa o całkiem znaczącej skali, w zakończonym miesiącu zmniejszono bowiem pakiety ponad 1/4...",1,
ASSECO-POLAND,2020-04-06 11:39:19,"Zagrożenie epidemiologiczne spowodowało utrudnienia w funkcjonowaniu placówek bankowych. Instytucje finansowe apelują, aby korzystać z mobilnych kanałów dostępu lub bankowości...",1,
ASSECO-POLAND,2020-03-31 12:46:41,"Spotkanie z doradcą klienta online, spacer po inwestycji odwzorowanej w wirtualnej rzeczywistości, wybór mieszkania, negocjacje zapisów umowy rezerwacyjnej w systemie CRM i na koniec – zdalne...",3,
ASSECO-POLAND,2020-03-26 12:09:53,"ACP (ASSECOPOL) podpisało z Ministerstwem Sprawiedliwości umowę na budowę systemu informatycznego obsługującego Krajowy Rejestr Zadłużonych, który usprawni postępowania restrukturyzacyjne...",3,
ASSECO-POLAND,2020-03-23 19:03:48,"Przychody Asseco Poland w roku 2019 wyniosły 10 667,4 mln zł wobec 9 328,6 mln zł odnotowanych w okresie poprzedniego roku. Z kolei wynik na działalności operacyjnej spadł w ubiegłym roku do...",1,
ASSECO-POLAND,2020-03-23 18:36:55,"Zarząd ACP (ASSECOPOL) rekomenduje wypłatę dywidendy w wysokości 3,01 zł na akcję. Do akcjonariuszy trafiłoby łącznie 249,8 mln zł z zysku wypracowanego w 2019 r. 

Biorąc pod uwagę...",3,
ASSECO-POLAND,2020-03-09 10:21:08,Do końca czerwca niepubliczne spółki akcyjne i komandytowe muszą wybrać podmiot do prowadzenia elektronicznego rejestru akcjonariuszy. Będą mogły to robić tylko podmioty uprawnione do...,2,
