,text,sentiment
26,asseco poland estimate that the net profit attribute to shareholder of the dominant group in the fourth quarter amount to pln million the company say pap consensus bizne assume a profit of pln million,2
27,dm bo analyst in a monthly report of february increase the recommendation for asseco poland to buy with hold in addition analyst add commercial jsw pcc rokita orange polska and lsi software on the list of long position for the come month and withdraw from alior santander bp millennium and action,3
28,asseco data system buy the majority share of the krakow company pirio this be a producer and integrator of the omnichannel class system that support process and automation,3
30,uokik assist by the police conduct a search at the headquarters of asseco poland comarch healthcare and bestproject in connection with the suspect collusion of the tender he say in a press release asseco poland and comarch healthcare declare full readiness to cooperate with representative of uokik,1
31,representative of the office of competition and consumer protection assist by the police conduct a search at the headquarters of asseco poland comarch healthcare and bestproject in connection with suspect collusion of a tender the office say in a press release,1
32,be the delivery of hospital it system in violation of competition law the president of uokik tomasz chrstny initiate an explanatory proceeding in this case and employee,1
33,uokik assist by the police conduct a search at the headquarters of asseco poland comarch healthcare and bestproject in connection with the suspect collusion of the tender he say in a press release,1
34,the eur pln exchange rate break the level of achieve the value of the unrelated since a similar situation occur in the case of the second most important currency pair usd pln balancing in the area,3
35,asseco poland expect the operational profitability of the group throughout to be about percent the company s representative inform the group expect to slow down growth dynamic in the fourth qu due to the effect of the high base from last year the big challenge for the further development of the company be increase competition on the labor market,1
36,the net profit of the asseco poland group in the third quarter increase by percent year on year up to pln million the group inform in the report the result be consistent with the estimate publish early by the company,3
37,the net profit of the asseco poland group in the third quarter increase by percent year on year up to pln million the group inform in the report the result be similar to estimate previously publish by the company,3
39,after three quarter of acp assecopol generate pln billion in sale revenue i e more compare to the same period last year sale of your own,3
40,despite the increase in th position the portfolio of share list on the wse in the investor tfi fund against the background of industry rival belong to more concentrated the manager base he on ingredient,1
41,the activity of manager from generali investment tfi be slightly weak than a quarter early but it be still within more than small specialist change,1
42,dm bo analyst in the report of october reduce the recommendation of asseco poland to hold with buy while raise the target price to pln from pln,1
43,acp assecopol have establish a new company asseco cloud which support client in the design implementation and service of cloud solution the company be create by a combination of several,3
44,new recommendation new valuation new analyst however a positive attitude to the stock market remain unchanged the bm mbank team also still recommend the prevailing of cyclical company,3
45,bm mbank analyst in the report of september issue new recommendation for asseco poland cd projekt dino famuru jsw mo bruk and this square game say the office in the september monthly review,2
46,haitong bank in the report of september reduce the recommendation asseco poland to neutral with buy at the same time he increase the target price of one company s share to pln from pln before,1
47,the net profit of the asseco poland group in the second quarter increase by percent year to year up to pln million the group inform in the report the result be similar to estimate previously publish by the company,3
48,the portfolio of the asseco poland group for be worth pln billion the company say in a semi annual report backlog be percent high than the value of the order portfolio for which the group record in the same period last year,3
49,in the first half of asseco achieve pln billion in sale revenue i e more than in the same period last year sale of own product and service,3
51,asseco poland and bank bps have sign a contract for the implementation of a new central banking system the purpose of cooperation be to implement modern technology for retail and business client electronic banking and mobile application some it system will be move to the cloud and customer of bank polska spdzielczoci will gain new solution in daily service,3
52,the purpose of cooperation between asseco poland and the bps bank be to implement a new central system electronic banking and mobile application some of the bank s it system,3
53,july in term of manage activity from santander tfi do not differ significantly from what we could observe in june with the difference that the burden of this activity,2
54,cyfrowy polsat currently have no plan to increase share in asseco poland or the sale of netia infrastructure representative of the company inform during a teleconference with the medium,1
55,the friday session bring record again but it be hard to not resist the impression that trade take place in holiday rhythms asseco poland turn out to be the wig leader,3
56,acp assecopol announce that the estimate consolidated net result assign to shareholder of the dominant unit for the first half of amount to pln million in the second quarter alone,2
57,asseco poland estimate that estimate result do not constitute confidential information provide that they have prove to be in line with the expectation of the market that be why the company guide by good practice of company list on the wse publish estimate on thursday for the first half of the year on its website joanna paczkowska tatomir from the asseco poland investor report inform pap bizne,2
58,asseco poland have be maintain an upward trend of financial result since the beginning of this year which be high than market expectation the capital group center around the large polish software manufacturer generate a net profit of pln million in the second quarter of in the first quarter of this year net profit be high than forecast and be at the level of pln million,3
59,the asseco poland group estimate the net profit assign to the shareholder of the dominant unit in the first half of at pln million and in the second quarter it reach pln million the company say on its website pap biznes consensus assume that in the second quarter of asseco poland have pln million net profit,3
60,asseco poland have a very good year behind it and can bring further improvement in the assessment of analyst the company s high dividend rate remain the advantage of the company one of the pap s interlocutor indicate that the increase in the course to the high level from may be partly the result of speculation about the buying by cyfrowy polsat but analyst do not believe in this scenario,3
61,consistently up bm mbank analyst assess that stock market will continue the upward trend and their base scenario for the following month remain unchanged and that mean far,3
62,in the material information on result of the first quarter of current order portfolio interest in individual segment cooperation with cp cyflplsat,2
63,in the first quarter of acp assecopol achieve over pln billion in sale revenue i e more than in the same period last year sale of own product and,3
65,the acp management assecopol recommend a dividend payment of pln per share a total of over pln million from the profit generate in would go to the shareholder take under,3
66,the management board of acp assecopol announce that the estimate consolidated net result attribute to shareholder of the dominant unit in amount to pln million only in the fourth quarter company,3
67,be number summarize the january activity of manage santander tfi in order these be new product in the portfolio company in which commitment be increase reduce,2
68,the it company asseco central europe have sign a cooperation agreement with the insurance company yout insunce international ag from liechtenstein for the next four year this be,3
69,in the fourth quarter in the portfolio of company list on the wse find in generali investment tfi fund a lot be happen six company fall out of the portfolio and the next four be,2
70,the end of the year at axa tfi be hard work at least when it come to the portfolio of company list on the wse and newconnect such conclusion arise after the analysis of the change make by,2
71,the end of the year be a good time for clean seem to speak of the december activity of pko tfi manager in the last month of specialist act intensively on the side,2
72,after three quarter of acp assecopol generate pln billion in sale revenue i e more compare to the same period last year of revenue constitute,3
73,spectacular decisive aggressive these be not the october activity of pko tfi manager last month he run rather calmly which do not mean boring we have,3
74,grupa kru kruk be the leader of the debt management industry in central europe and the pioneer of the progen strategy in its process the company use innovative tool that,3
75,in term of overall manage activity of santander tfi october do not distinguish significantly from what we could observe in the previous month increase,2
76,september be the first month in half a year when there be more sale in the pko fund locate on the wse than purchase despite this the manager decide to maintain the number,1
77,in aviva investor tfi fund we find a total of almost company list on the wse in this respect fund create for the need of ppk be more concentrated and base on,2
78,customer expectation in the condition of market uncertainty change dynamically financial organization such as bank insurance company and capital market entity must,1
79,acp assecopol and the armament inspectorate have sign a contract for the delivery of unmanned aircraft of micro class for the polish armed force drone will be use to conduct day night,3
80,acp assecopol have develop a solution that thank to the introduction of process standardization and consulting of service improve the efficiency of operation and reduce the cost of the functioning of bank,3
81,summer purchase continue after five month during which sale transaction dominate in santader tfi wallet the role reverse the demand page for the third month,2
82,the august correction forecast by dm mbank analyst do not occur and the second month of holiday be quite successful for the stock market at least the one in the american edition expert,3
83,in the first half of asseco generate pln billion in sale revenue i e more than in the same period before a year of revenue be a crucial for the group,3
84,acp assecopol with the support of technological partner ibm google cloud and red hat create a new model of the asseco convent service environment asseco cse platform for the first time on,3
85,after decision from the beginning of the year to sell several component the number of company list on the wse find in the portfolio of santander tfi fund remain at a stable level create,2
86,slow the pace of economic recovery and further uncertainty in geopolitic will cause that in the follow week stock market may enter the period of correction of growth from recent month,1
87,banking group a lead bank offer financial service for enterprise cooperate with public administration entity i asseco data system one of the large,2
88,after pandemic turmoil many forecast from just a few month from just a few month seem not to stop current reality like theoretically still,1
89,registration of question and answer from the result conference of acp assecopol of may we will now go to the part of our next meeting to question please ask,2
90,registration of the acp result conference assecopol of may during which representative of the company present financial result generate in the st quarter of and,2
91,in the first quarter of the group s revenue exceed pln billion operational profit amount to pln million which be more than in the same period of last year net profit increase by and,3
92,when we look into the current portfolio of the wse in aviva investor poland tfi fund it be clear that it be not resistant to march sale you can even see that the manager,1
93,after three month of solid purchase the supply page be activate in the pko tfi portfolio i be talk about a quite significant scale in the end of the month packet of over be reduce,1
94,the epidemiological threat cause difficulty in the functioning of banking branch financial institution appeal to use mobile access or banking channel,1
95,meet with an online customer advisor a walk around the investment in virtual reality selection of a flat negotiation of the provision of the booking agreement in the crm system and finally remote,3
96,acp assecopol have sign a contract with the ministry of justice for the construction of an it system serve the national register of debt which will improve restructure proceeding,3
97,asseco poland revenue in amount to pln million against pln million record during the previous year in turn the result on operating activity fall last year to,1
98,the acp management assecopol recommend a dividend payment of pln per share a total of pln million from the profit generate in would go to the shareholder give,3
99,by the end of june non public joint stock and limited partnership company must choose an entity for keep an electronic shareholder register only entity authorize to will be able to do this,2
100,shop in one word the january tfi manager could be summarize at the beginning of however not only the company s stock package in the pko retirement fund,3
101,in tyskie public transport bus a payment card payment system be implement for the first time in poland in the mtt model an international payment standard,3
102,generali investment tfi be one of the player present on the market of employee capital program however at the end of the year in the portfolio of eight horizon subfund intend for invest,2
103,if we look at the number of company in which the involvement in relation to company that be less in their portfolio be increase then in pko tfi grudzie be under the sign of shopping rather than,3
104,as in the whole of also in the last quarter of last year the manage aviva investor tfi focus rather on the sale of share in the fourth quarter it be reduce,1
105,the joint portfolio of tfi allianz polska fund locate on the wse at the end of be pln million manager look after concentration without allow themselves excessive diversification,2
106,asseco will implement an integrated it system in the olenica city hall cover all subordinate unit the project will improve city management and allow you to implement e service,3
107,cp cyflplsat be the large and most important enterprise of the polish economy in the area of medium and telecommunication and acp assecopol in the it sector the future and the development of both,3
108,in the first three quarter of the group s revenue increase by and reach pln billion pln million of operating profit be generate i e more by compare to,3
109,asseco data system have sign a contract with the city hall of rzeszw for the modernization of the emergency tourist route as part of the project rzeszw piwnice an interactive culture institution,3
110,rzeszw will be the first polish city to introduce visual monitoring of free parking space the entire pay parking zone will be cover by the collect system and,3
111,before investor receive a dividend several thing have to happen first the method of division of profit must be determine by the general meeting of shareholder then the date must be set,2
112,invest in dividend company be often associate with long term commitment to the company s share however other approach also have a large group of supporter for example,2
113,asseco data system be select as a contractor for the local government project digital city for entrepreneur cump the undertaking be implement from the eu fund,3
114,acp assecopol will implement an integrated it system in the sieradz city hall the new it system will improve city management and allow you to create an online city service portal,3
115,asseco the large polish software manufacturer will implement a system of electronic medical documentation and service from the e zdrowia area in hospital and in the medical school complex at,3
116,in the first half of asseco record record sale and a significant increase at the level of operational profit the group s revenue in this period reach almost pln billion asseco effectively,3
117,asseco data system launch the cloud by asseco brand this be the answer to the grow entrepreneur need for solution base on cloud technology the development strategy be,3
118,over the second quarter of the manage tfi allianz polska leave in the wallet unchanged position reduce commitment in company and increase the number of share,2
119,mielec be the first local government in poland to recruit for kindergarten and school in a completely electronic way asseco data system have integrate the electronic system,3
120,the pgnig retail turn conclude a contract with acp assecopol to build and implement the central billing system csb this solution will increase the quality of individual customer service,3
121,asseco have acquire of share in the spanish company tecsisa which provide it solution for the energy sector it currently operate in spain mexico guatemala peru and argentina,3
122,asseco have complete one of the large project on both the polish and european telecommunication market migration of opl client orangepl to two new billing system at,3
123,medicover polska and asseco poland have start cooperation on the new model of provide health service its purpose be to build a platform that will improve communication and settlement,3
124,from july the social insurance institution have a new information exchange system electronic exchange of social security information eessi which be to provide,3
125,the agency for restructuring and modernization of agriculture have conclude an agreement with asseco poland for the development and maintenance of the sia system this be the large agency system that correspond to among other for payment of subsidy for,3
126,asseco poland implement e service relate to patient service and provide electronic medical documentation by hospital of the lublin province the company win proceeding,3
127,asseco have sign a contract with pge dystrybucja and pge system in the field of service and development service of the handelmax and energo billing system the total value of contract be,3
128,in the first quarter of asseco record record result and improvement of profitability for the first time in history the group s revenue in this period exceed pln billion the group intensively,3
129,asseco poland buy of share at comcert it deal with the provision of service in the field of cybersecurity include security monitoring and threat detection,3
130,pln million from the net profit generate in during the zwz shareholder of the company pass the payment of a dividend of pln per share day,3
131,in for the first time in history the revenue of the asseco group exceed pln billion and the operating profit amount to pln million which be more than in group,3
132,the acp management assecopol recommend a dividend payment of pln per share a total of pln million from the profit generate in would go to the shareholder if wza he vote,3
133,exchange investor expect trading platform to be fully adapt to their need as recent study show they be more likely to use attractive,2
134,asseco poland and oracle corporation have conclude an agreement as a result of which modern asseco application for the utility sector will be sell in the oracle cloud solution from the asseco family,3
135,asseco have sign a framework agreement with the european border and coast guard agency frontex for the development of the new version of the opera system which be primarily use to control border be,3
136,after disappoint for the warsaw stock exchange of the analyst of the mbank s brokerage house intend to enter into a new one with optimism and it will not be unfounded in their opinion no,1
137,pekao bank analyst expect to deepen fall on the stock market and increase variability of quotation the model portfolio of share should be build with less sensitive company,1
138,asseco have create a new r mp d asseco innovation hub aih department in its structure which will deal with the development of innovative product and service the company say aih activity will be,3
139,acp assecopol have sign a contract with the social insurance institution zus for the development and maintenance of the customer s portal and the service rail esb the company say they operate within the platform,3
140,asseco data system will be responsible for the integration project of the tychy public transport system with the silesian public service card kup say the company the project will be,3
141,asseco data system have develop a safe electronic archive deposit in the asseco data system datum center the company say the product provide a way of communication with client consistent with,3
142,acp assecopol record a cash flow at pln million and expect that the next quarter will also be very good say vice president rafa kozowski we be please,3
143,the portfolio of the asseco poland group for be pln million as at november the company say calculate backlog accord to the course that be calculate,2
144,acp assecopol record pln million of consolidated net profit attribute to shareholder of the dominant unit in q against pln million profit a year early the company say in,1
145,asseco will provide the integrated it system asseco medical management solution amms which will operate in medical facility subordinate to the poviat health center pcz in,3
146,acp assecopol have sign a contract for computerization of the poviat hospital in kozienice its purpose be primarily to provide patient with access to e service the company say as part of,3
147,asseco poland have create a new system use the mechanism of advanced predictive analysis asseco customer intelligence aci which allow you to check what customer be look for in,3
148,asseco poland have complete the implementation of e prescription in pilot hospital the mazowieckie provincial hospital and independent public use the new functionality first,3
149,asseco poland base on this year s portfolio look optimistic at the second half of the year say the board member marek panek the management emphasize that in financial flow there be nothing,3
150,the consolidated portfolio of order asseco poland for the current year be currently pln million the company say the consolidated acp assecopol order portfolio for the current year be po and,2
151,asseco poland record pln million of consolidated net profit attribute to the shareholder of the dominant unit in q against pln million in profit a year early the company say in,3
152,asseco poland will implement a trade financing tool at the pekao bank an open financing platform opf which among other it will support the factoring service of current bank client and facilitate,3
153,asseco poland have sign a framework agreement with the social insurance institution zus for the modification and development of a comprehensive it system ksi worth almost pln million gross,3
154,the new golden sand bank branch which will be build in germany will be base on the central banking system of asseco core banking and on ibm service solution say acp assecopol,3
155,the asseco group continue the operation of the central it system krus the contract for the next four year amount to pln million gross the leader of the consortium of asseco datum system report,3
156,improve the sentiment for action be to be possible thank to the temporary stabilization of the situation in italy a good macroeconomic give from the euro area stabilization of the dollar exchange rate and improve the result,3
157,acp assecopol expect payment from kt corporation in the amount of usd million at the end of june say a member of the management board for financial affairs jarosaw kozowski we expect,2
158,acp assecopol assess this year s po and quarter perspective optimistically say the board member jarosaw kozowski we be satisfied with the last quarter,3
159,the consolidated acp assecopol order portfolio for the current year be currently pln million the company say consolidated sale revenue reach pln million in q,2
160,acp assecopol record pln million of consolidated net profit attribute to the shareholder of the dominant unit in the first quarter of against pln million of profit a year early the company say in,2
161,acp assecopol have sign a contract with the fund of agricultural social insurance krus for the maintenance and development of the workflow system which be a central component of the integrate system,3
162,acp shareholders assecopol decide to allocate pln million for the dividend which mean a payment of pln per share the company say ordinary general,3
163,the last quarter of last year perform by company list on the warsaw court be not the good quarterly profit turn out to be low than expectation and the dm bo team,1
164,asseco international ai be aim at an increase in revenue and do not exclude raise capital for further expansion by debut on one of the european stock exchange say president josef klein,3
165,acp consortium assecopol asseco south eastern europe d o o beograd and chip card a d beograd will implement an electronic customer service office base on the asseco platform aum,3
166,acp shareholders assecopol will decide at the general meeting convene to april this year for the purpose of pln per share for a dividend from profit for accord to draft resolution at zwz,3
167,issue by the management board of asseco poland in march the recommendation of dividend payment be pln per share exactly the same as in the previous two year it be also a value in accordance with,3
168,acp assecopol want the current year to be operationally well than say president adam gral this year s budget look much well than the implementation of without,3
169,acp assecopol will remain faithful to dividend but it do not exclude its limitation if a great chance appear in the form of for example a large acquisition which would give ankle growth and potentially,1
170,acp assecopol be work on a direct entry into the us market say president adam gral we be incredibly interested in the usa we do everything to enter this market directly,3
171,the consolidated acp assecopol order portfolio for the current year be currently pln million the management board say consolidated sale revenue reach pln million in,2
172,acp assecopol record pln million of consolidated net profit assign to the shareholder of the dominant unit in against pln million profit a year early the company say in,3
173,acp assecopol initially estimate for the consolidated net result of the shareholder of the dominant unit at pln million and the consolidated operational result of the year at pln million,2
174,the management board of acp assecopol recommend the payment of dividend from profit for and from previous year of pln per share the company say this recommendation,3
175,in connection with the annual revision of the portfolio of the estate exchange index gpw in warsaw after the session on march the wig and wig tr index wallet will appear cdr cdpprojekt,2
176,sapien forecast obtain usd million revenue and an operate margin of in the company say the forecast of revenue for the entire reflect,3
177,acp assecopol have be implement on the warsaw stock exchange gpw access system for the utp rotation platform the company say on the first session day of asseco,3
178,acp assecopol have sign a contract with the military geographical center wcg for the supply of the geoserwer it system which will act as a central digital datum catalog,3
179,acp assecopol record pln million of consolidated net profit assign to the shareholder of the dominant unit in q against pln million profit a year early the company say,3
180,acp assecopol will invest about pln million in the asseco innovation hub research center in rzeszw and will ultimately employ around people say the president of asseco poland adam gral want,3
181,acp assecopol develop international cooperation with ibm in the field of technological solution for the banking sector say isbnews tv president of the group adam gral fully,3
182,acp assecopol after the decision to create asseco international be still focus on a long term and stable global structure of the group with its own software product and potential,3
183,acp assecopol be conduct talk about potential transaction in european country as well as the usa accord to the statement of the president of asseco poland the consolidation of asseco international ai will be,3
184,acp assecopol assume the destination of asseco international ai and do not rule out that raise capital and debut can take place on the warsaw stock exchange say the president of asseco,3
185,acp assecopol want to implement project in the polish public sector but not at all cost say president adam gral as he emphasize asseco do not have to have a contract in,3
186,acp assecopol found the slovak company asseco international ai to which international asset be plan to bring the company say the management board inform about the intention of furth,3
187,acp assecopol conclude an agreement with the president of formula systems ltd and the subject control by he as a result of which he will regain control over this company asseco report,3
188,as a result of the loss of control over the formula system group by acp assecopol an impact on the consolidated net result for the shareholder of the dominant unit will probably be from to million,1
189,acp assecopol will show a profit from the sale transaction of the formula system package and overestimate the value of the currently own package in the result for the third quarter say vice president of asseco,1
190,acp assecopol expect the ready make shape of asseco enterprise solution its holding in the erp segment which be to implement the paneuro european strategy at the end of the year he announce,3
191,acp assecopol have sign a four year contract with the ministry of justice to maintain and modify the ict system electronic land and mortgage register ecw which provide,3
192,acp assecopol conduct several acquisition talk inform the board member marek panek he be interested in small and medium company with solution for finance sector and,3
193,acp assecopol record pln million of consolidated net profit attribute to the shareholder of the dominant unit in the first half against pln million a year early she say,1
194,acp assecopol have sign a contract for the implementation of the asseco medical management solution in the newly create private medical complex geomedical in katowice the company say additionally,3
195,acp assecopol have complete negotiation and conclude a sale transaction share of the formula system subsidiary constitute a share in the share capital and the same,3
196,acp assecopol agree with the sale of of the share of the formula systems ltd subsidiary with headquarters in tel aviv for million nis the company say asseco negotiate the sale of another,1
197,acp assecopol conduct negotiation with the intention to conclude a transaction of the sale package of share share formula system ltd base in tel aviv constitute a maximum of,1
198,acp assecopol have sign a contract with sberbank europe ag base in austria to implement the asseco treasura system include new functionality of tax transaction say,3
199,ase manager assecosee conclude contract for the purchase of share of the company constitute share in the company capital at pln for one share acp assecopol inform,3
200,acp assecopol will be responsible for the delivery of an unmanned system intend for perform long term photogrammetric raid for the ministry of science and technology with,3
201,acp assecopol expect the most powerful effect of raft receivables and improvement of operational flow in the second half of the year say vice president rafa kozowski the group sees grow,3
202,the consolidated acp assecopol order portfolio for the current year be currently about pln billion which mean an increase of y y the management board say consolidated order portfolio for,2
203,acp assecopol record pln million of consolidated net profit attribute to the shareholder of the dominant unit in the first quarter of against pln million in profit a year early the company say in,1
204,acp assecopol have sign a contract with the warsaw stock exchange gpw for implementation and the launch of the promak ts system to support trade in financial instrument that meet,3
205,acp shareholders assecopol decide to allocate pln million for the dividend which mean a payment of pln per share result from the adopt resolution a day of establish,3
206,acp assecopol conclude a sale transaction acs shares assecoslo constituting share in the company capital and vote on wz with five capital group manager,1
207,acp assecopol develop three international group competence center in the erp area payment and insurance say president adam gral he estimate that in some time for company,3
208,acp assecopol estimate that last year s freeze it tender in the public sector will select a new situation in this market the company want to need you participate and earn,3
209,acp assecopol want among other through acquisition build a strong european position in the erp segment this be to be deal with by asseco enterprise solution say the president of the group adam gral,3
210,acp assecopol recommend a dividend payment for the financial year in the amount of pln per share the company say the total amount of net profit for dividend be,3
211,the portfolio of the acp group assecopol for the current year be pln million the company say in the report in the entire last year year of the group s revenue amount to pln million asseco poland s a,2
212,acp assecopol record pln million of consolidated net profit attribute to the shareholder of the dominant unit in q against pln million in profit a year early the company say,1
213,acp assecopol sell of the share of the russian company r stele softlab for three natural person for the amount of pln the company say the value of the transaction be,1
214,have start a new project on the african market it will be perform in ethiopia in cooperation with the local information agency insa its value be,3
215,sapiens int company from the asseco group conclude a contract for the purchase of stoneriver inc for about usd million in cash sapien say stoneriver provide solution and product for the sector,3
216,the asseco consortium have sign a contract with the city of d office to implement the erp system the value of the project be pln million acp assecopol say this be the first project in the polish self government,3
217,the investment horizon of open pension fund can be describe as long if not very long therefore at least theoretically they invest in perspective company about,1
218,acp assecopol conclude a contract of acquisition of share constitute a share in the company capital in the subsidiary ase assecosee say the company the value of the transaction be,3
219,acp assecopol register the subsidiary of asseco enterprise solution a s with its register office in bratislava asseco report the purpose of the creation be to concentrate and create in the center group,3
220,acp assecopol submit as part of a call to sign up for the sale of acs share assecoslo provision for a total of asseco central europe shares ace constitute about,2
221,acp assecopol as part of the summary of asseco central europe acs assecoslo share be submit by entry for a total of ace share constitute about of share in the company capital,2
222,acp assecopol have create a strategy for the transfer of it system of one of the nato agency and carry out model migration base on it the company say in addition asseco have develop,3
223,opl orangepl in cooperation with asseco move over million customer to a new billing system the operator say over million orange customer use service,3
224,acp assecopol make every effort to realize the expectation of the main shareholder i e propose a dividend for at the level of the previous year he report,3
225,the acp assecopol order portfolio for the current year be pln million the company say in the report in the entire last year year the group s revenue amount to pln billion asseco poland s a,2
227,acp assecopol announce a call to sign up for the sale of acs share assecoslo at pln per item asseco say registration will be accept from november to december,1
228,acp assecopol have conclude an annex to the contract with the social insurance institution uzs for the service for the support service and maintenance of a comprehensive it system of a value of no more than,3
229,acp assecopol have invest in the polish start up the modulus company which be create advanced cloud solution and the provision of service in the field of ui ux design,3
230,acp assecopol which appeal against the decision of the social insurance institution zus regard the tender for the expansion and development of the electronic system of the data exchange platform epwd,1
231,acp assecopol will provide the military institute of technology and armament witu portable operator panel of the ground control station asseco gcs say the company it be original,3
232,net profit by one fifth low than expectation be generate in the second quarter of company analyze by dm bo despite many disappointing result the value of the office prepare by the office,1
233,acp assecopol be look at the market in poland and abroad in term of possible acquisition but for now he do not see the opportunity to conduct acquisition say vice president marek,1
234,acp assecopol record pln million of consolidated net profit assign to the shareholder of the dominant unit in q compare to pln million a year early the company say in,3
235,different type of activity carry out by company require different demand for profit therefore at least theoretically less capital intensive business should be,2
236,the asseco group have finalize the process of change relate to activity on the polish market their goal be to simplify the organizational structure and develop expert competence under,3
237,acp assecopol purchase the remaining of share in the zao zao r style softlab base in moscow for usd million the company say the share be acquire as a result of the put,3
238,magic software enterprise ltd a company belong to formula system group from the acp group assecopol conclude a takeover contract for of israeli share of roshtov software industries ltd for around,3
239,in the monthly review analyst of the mbank brokerage house reduce the recommendation for four company while raise for five they also notice,1
240,the fusion of asseco poland and infovide matrix should be finalize until july say vice president marek panek fusja asseco from infovide should be complete by july say panek,3
241,the value of the consolidated order portfolio of asseco poland for the current year be pln billion which mean an increase of y y and allow you to look at the current year with optimism he inform,3
243,asseco poland shareholder decide to pay pln million i e pln per share for dividend for the company say the company s general meeting define the day,3
